movie_id,person_id,name,character,image_url,cast_number
19995,1207271,Hanniyah Muhammad,Dancer,,55
19995,1207272,Christopher Nolen,Dancer,https://image.tmdb.org/t/p/w500//eMGZcyhXjSYOIyf2KRoL0lfAWsI.jpg,56
19995,1207273,Christa Oliver,Dancer,,57
19995,1207274,April Marie Thomas,Dancer,,58
19995,1207275,Bravita A. Threatt,Dancer,,59
19995,1207276,Colin Bleasdale,Mining Chief (uncredited),,60
19995,107969,Mike Bodnar,Veteran Miner (uncredited),,61
19995,1207278,Matt Clayton,Richard (uncredited),,62
19995,147898,Nicole Dionne,Nav'i (uncredited),https://image.tmdb.org/t/p/w500//nBny0UCE02znbdNolcX99q6Kxce.jpg,63
19995,1207280,Jamie Harrison,Trooper (uncredited),,64
19995,1207281,Allan Henry,Trooper (uncredited),https://image.tmdb.org/t/p/w500//iZKNvaQutjb5Otlb7IyYqdfWJ7d.jpg,65
19995,1207282,Anthony Ingruber,Ground Technician (uncredited),https://image.tmdb.org/t/p/w500//fUTCd1jGGQHn912czglHg28v4gR.jpg,66
19995,1207283,Ashley Jeffery,Flight Crew Mechanic (uncredited),,67
19995,98216,Dean Knowsley,Samson Pilot,,68
19995,1201399,Joseph Mika-Hunt,Trooper (uncredited),https://image.tmdb.org/t/p/w500//rsxznPhsWTqqZ32vXlyk8NUBPuq.jpg,69
19995,236696,Terry Notary,Banshee (uncredited),https://image.tmdb.org/t/p/w500//nYs1Sd11czZNwcDyUYdHPwHHIRO.jpg,70
19995,1207287,Kai Pantano,Soldier (uncredited),,71
19995,1207288,Logan Pithyou,Blast Technician (uncredited),,72
19995,1207289,Stuart Pollock,Vindum Raah (uncredited),,73
19995,584868,Raja,Hero (uncredited),,74
19995,1207290,Gareth Ruck,Ops Centreworker (uncredited),,75
19995,1062463,Rhian Sheehan,Engineer (uncredited),,76
19995,60656,T. J. Storm,Col. Quaritch's Mech Suit (uncredited),https://image.tmdb.org/t/p/w500//ncldw2ugSqCpGM7WbROD8Ha2Fln.jpg,77
19995,1207291,Jodie Taylor,Female Marine (uncredited),,78
19995,1186027,Alicia Vela-Bailey,Ikran Clan Leader (uncredited),https://image.tmdb.org/t/p/w500//2isB8x0wahPz4sZ8QSX7Up4iDq9.jpg,79
19995,1207292,Richard Whiteside,Geologist (uncredited),,80
19995,103259,Nikie Zambo,Na'vi (uncredited),,81
19995,42286,Julene Renee,Ambient Room Tech / Troupe,https://image.tmdb.org/t/p/w500//fJVzlYLGnUhojDUP9uzn5f3THID.jpg,82
285,85,Johnny Depp,Captain Jack Sparrow,https://image.tmdb.org/t/p/w500//wcI594cwM4ArPwvRd2IU0Z0yLuh.jpg,0
285,114,Orlando Bloom,Will Turner,https://image.tmdb.org/t/p/w500//lwQoA0qJTCZ6l2FH6PjmhRQjiaB.jpg,1
285,116,Keira Knightley,Elizabeth Swann,https://image.tmdb.org/t/p/w500//bRC1B2VwV0wK3ElciFAK6QZf2wD.jpg,2
285,1640,Stellan Skarsgård,"William ""Bootstrap Bill"" Turner",https://image.tmdb.org/t/p/w500//x78BtYHElirO7Iw8bL4m8CnzRDc.jpg,3
285,1619,Chow Yun-fat,Captain Sao Feng,https://image.tmdb.org/t/p/w500//uDPYSiZrW7OZ79qgcgkWefALlXY.jpg,4
285,2440,Bill Nighy,Captain Davy Jones,https://image.tmdb.org/t/p/w500//ixFI2YCGNGJfwlpI8iyhvVZRg8C.jpg,5
